站点,lon,lat,所属线路,所属区划,,
莘庄,121.3807389,31.11305776,1号线,闵行区,,
外环路,121.3883802,31.12279379,1号线,闵行区,,
莲花路,121.3982672,31.13278555,1号线,闵行区,,
闵行开发区,121.3651056,31.00261404,5号线(东川路-闵行开发区),闵行区,,
文井路,121.3761545,31.0055688,5号线(东川路-闵行开发区),闵行区,,
华宁路,121.3906241,31.00942524,5号线(东川路-闵行开发区),闵行区,,
金平路,121.4055553,31.01323525,5号线(东川路-闵行开发区),闵行区,,
东川路,121.4152764,31.02014967,5号线(东川路-闵行开发区),闵行区,,
莘庄,121.3807389,31.11305776,5号线(莘庄-奉贤新城),闵行区,,
春申路,121.3811847,31.10016251,5号线(莘庄-奉贤新城),闵行区,,
银都路,121.3856284,31.09125902,5号线(莘庄-奉贤新城),闵行区,,
颛桥,121.3972308,31.06893427,5号线(莘庄-奉贤新城),闵行区,,
北桥,121.4054203,31.04704549,5号线(莘庄-奉贤新城),闵行区,,
剑川路,121.4119538,31.02842916,5号线(莘庄-奉贤新城),闵行区,,
东川路,121.4152764,31.02014967,5号线(莘庄-奉贤新城),闵行区,,
江川路,121.4188542,31.00739053,5号线(莘庄-奉贤新城),闵行区,,
沈杜公路,121.5078991,31.06355829,8号线,闵行区,,
联航路,121.5062142,31.07568633,8号线,闵行区,,
江月路,121.5042151,31.08636029,8号线,闵行区,,
浦江镇,121.5018747,31.09868334,8号线,闵行区,,
芦恒路,121.4934124,31.12107056,8号线,闵行区,,
凌兆新村,121.4852022,31.14332026,8号线,浦东新区,,
东方体育中心,121.4758096,31.15535214,8号线,浦东新区,,
杨思,121.488994,31.16307403,8号线,浦东新区,,
成山路,121.4917802,31.17275831,8号线,浦东新区,,
耀华路,121.4901657,31.18052755,8号线,浦东新区,,
中华艺术宫,121.4891756,31.18725023,8号线,浦东新区,,
西藏南路,121.4850887,31.20395497,8号线,黄浦区,,
陆家浜路,121.4816357,31.21376224,8号线,黄浦区,,
老西门,121.479305,31.22097716,8号线,黄浦区,,
大世界,121.4748219,31.22912882,8号线,黄浦区,,
人民广场,121.4706184,31.23471387,8号线,黄浦区,,
曲阜路,121.4670119,31.24422611,8号线,闸北区,,
中兴路,121.464486,31.25513584,8号线,闸北区,,
西藏北路,121.4642273,31.26540772,8号线,闸北区,,
虹口足球场,121.4746456,31.2733187,8号线,虹口区,,
龙溪路,121.3753977,31.19626742,10号线(新江湾城-航中路),长宁区,,
龙柏新村,121.3658573,31.17876984,10号线(新江湾城-航中路),闵行区,,
紫藤路,121.3602176,31.17157365,10号线(新江湾城-航中路),闵行区,,
航中路,121.3507399,31.16733418,10号线(新江湾城-航中路),闵行区,,
七莘路,121.3578579,31.13356127,12号线,闵行区,,
虹莘路,121.3757163,31.13934438,12号线,闵行区,,
顾戴路,121.387215,31.14277474,12号线,闵行区,,
东兰路,121.3872727,31.15769983,12号线,闵行区,,
沈杜公路,121.5078991,31.06355829,浦江线,闵行区,,
三鲁公路,121.5230685,31.05828634,浦江线,闵行区,,
闵瑞路,121.5260127,31.05014717,浦江线,闵行区,,
浦航路,121.5262821,31.04318894,浦江线,闵行区,,
东城一路,121.5277898,31.03259619,浦江线,闵行区,,
汇臻路,121.5202307,31.02743326,浦江线,闵行区,,
锦江乐园,121.4094671,31.14409724,1号线,徐汇区,,
上海南站,121.4254169,31.15646348,1号线,徐汇区,,
漕宝路,121.4285225,31.17022476,1号线,徐汇区,,
上海体育馆,121.4328088,31.18469182,1号线,徐汇区,,
徐家汇,121.4322206,31.1972098,1号线,徐汇区,,
衡山路,121.4418265,31.20641001,1号线,徐汇区,,
常熟路,121.4445491,31.21540653,1号线,徐汇区,,
陕西南路,121.4541768,31.21705111,1号线,徐汇区,,
虹梅路,121.3926053,31.16222167,12号线,徐汇区,,
虹漕路,121.4059092,31.16590097,12号线,徐汇区,,
桂林公园,121.4150163,31.16885573,12号线,徐汇区,,
漕宝路,121.4285225,31.17022476,12号线,徐汇区,,
龙漕路,121.439784,31.17135406,12号线,徐汇区,,
龙华,121.448379,31.174582,12号线,徐汇区,,
龙华中路,121.4524849,31.18575577,12号线,徐汇区,,
大木桥路,121.4587257,31.1959786,12号线,徐汇区,,
嘉善路,121.4561434,31.2047314,12号线,徐汇区,,
陕西南路,121.4541768,31.21705111,12号线,徐汇区,,
南京西路,121.455406,31.23174992,12号线,静安区,,
汉中路,121.4541294,31.24377161,12号线,闸北区,,
曲阜路,121.4670119,31.24422611,12号线,闸北区,,
天潼路,121.4779783,31.24577698,12号线,闸北区,,
黄陂南路,121.4687823,31.2246777,1号线,黄浦区,,
人民广场,121.4706184,31.23471387,1号线,黄浦区,,
新闸路,121.4636096,31.24028532,1号线,黄浦区,,
汉中路,121.4541294,31.24377161,1号线,闸北区,,
上海火车站,121.4533666,31.25151549,1号线,闸北区,,
中山北路,121.4546343,31.26077318,1号线,闸北区,,
延长路,121.4507477,31.27354341,1号线,闸北区,,
上海马戏城,121.4474324,31.28175334,1号线,闸北区,,
汶水路,121.4456549,31.29440578,1号线,闸北区,,
彭浦新村,121.4440408,31.30844528,1号线,闸北区,,
共康路,121.442457,31.32076979,1号线,闸北区,,
通河新村,121.4369269,31.33295026,1号线,宝山区,,
呼兰路,121.4330837,31.34151467,1号线,宝山区,,
共富新村,121.4294278,31.35688374,1号线,宝山区,,
宝安公路,121.4262725,31.37134847,1号线,宝山区,,
友谊西路,121.4233062,31.38308289,1号线,宝山区,,
富锦路,121.420009,31.39404082,1号线,宝山区,,
江杨北路,121.4351897,31.40965158,3号线,宝山区,,
铁力路,121.4565619,31.40995358,3号线,宝山区,,
友谊路,121.4713933,31.40588746,3号线,宝山区,,
宝杨路,121.4750563,31.39719882,3号线,宝山区,,
水产路,121.4837607,31.38321454,3号线,宝山区,,
淞浜路,121.4883489,31.37285714,3号线,宝山区,,
张华浜,121.4942241,31.35996675,3号线,宝山区,,
淞发路,121.4959504,31.34709524,3号线,宝山区,,
长江南路,121.4870114,31.33400024,3号线,宝山区,,
殷高西路,121.480363,31.32192838,3号线,宝山区,,
浦东国际机场,121.8013013,31.15305754,2号线,浦东新区,,
海天三路,121.7925674,31.17053619,2号线,浦东新区,,
远东大道,121.7509293,31.20141491,2号线,浦东新区,,
凌空路,121.7197279,31.19491145,2号线,浦东新区,,
川沙,121.6938755,31.18883184,2号线,浦东新区,,
华夏东路,121.6766673,31.19869255,2号线,浦东新区,,
创新中路,121.6694209,31.21599403,2号线,浦东新区,,
唐镇,121.6520103,31.21626222,2号线,浦东新区,,
广兰路,121.6168642,31.21325383,2号线,浦东新区,,
金科路,121.5977903,31.20642796,2号线,浦东新区,,
张江高科,121.5834834,31.20404366,2号线,浦东新区,,
龙阳路,121.5533858,31.20574697,2号线,浦东新区,,
世纪公园,121.5466445,31.21157642,2号线,浦东新区,,
上海科技馆,121.5401567,31.22095627,2号线,浦东新区,,
世纪大道,121.5228774,31.2307688,2号线,浦东新区,,
东昌路,121.5111803,31.23532096,2号线,浦东新区,,
陆家嘴,121.4978383,31.24020378,2号线,浦东新区,,
人民广场,121.4706184,31.23471387,2号线,黄浦区,,
南京东路,121.4801412,31.24005768,2号线,黄浦区,,
浦东大道,121.5150221,31.24203318,4号线,浦东新区,,
世纪大道,121.5228774,31.2307688,4号线,浦东新区,,
浦电路,121.5277607,31.22438819,4号线,浦东新区,,
蓝村路,121.5232942,31.21376798,4号线,浦东新区,,
塘桥,121.5143272,31.21183327,4号线,浦东新区,,
南浦大桥,121.4952946,31.21051905,4号线,黄浦区,,
西藏南路,121.4850887,31.20395497,4号线,黄浦区,,
鲁班路,121.4706324,31.20116985,4号线,黄浦区,,
大木桥路,121.4587257,31.1959786,4号线,徐汇区,,
东安路,121.4503215,31.19272378,4号线,徐汇区,,
上海体育场,121.4389267,31.18749149,4号线,徐汇区,,
上海体育馆,121.4328088,31.18469182,4号线,徐汇区,,
宜山路,121.4225631,31.18858228,4号线,徐汇区,,
虹桥路,121.4161747,31.19937907,4号线,长宁区,,
延安西路,121.4124183,31.2114632,4号线,长宁区,,
中山公园,121.4111276,31.21979069,4号线,长宁区,,
金沙江路,121.4085017,31.23383925,4号线,普陀区,,
曹杨路,121.4130553,31.24113562,4号线,普陀区,,
镇坪路,121.4251465,31.24820849,4号线,普陀区,,
中潭路,121.4363875,31.25641807,4号线,普陀区,,
上海火车站,121.4533666,31.25151549,4号线,闸北区,,
宝山路,121.4717817,31.25345052,4号线,闸北区,,
东方体育中心,121.4758096,31.15535214,6号线,浦东新区,,
灵岩南路,121.4908537,31.15069702,6号线,浦东新区,,
上南路,121.5017489,31.15109449,6号线,浦东新区,,
华夏西路,121.5101667,31.15196721,6号线,浦东新区,,
高青路,121.5114183,31.16199467,6号线,浦东新区,,
东明路,121.5064808,31.17471243,6号线,浦东新区,,
高科西路,121.505453,31.18781773,6号线,浦东新区,,
临沂新村,121.5123266,31.19527547,6号线,浦东新区,,
上海儿童医学中心,121.5191361,31.2053653,6号线,浦东新区,,
蓝村路,121.5232942,31.21376798,6号线,浦东新区,,
浦电路(6号线),121.5247934,31.22220013,6号线,浦东新区,,
世纪大道,121.5228774,31.2307688,6号线,浦东新区,,
源深体育中心,121.5303298,31.23510905,6号线,浦东新区,,
民生路,121.5392407,31.23797718,6号线,浦东新区,,
北洋泾路,121.5480504,31.24128952,6号线,浦东新区,,
德平路,121.5599989,31.24756421,6号线,浦东新区,,
云山路,121.5685509,31.2525876,6号线,浦东新区,,
金桥路,121.5776037,31.2592656,6号线,浦东新区,,
博兴路,121.5824795,31.26570264,6号线,浦东新区,,
五莲路,121.5836567,31.27420478,6号线,浦东新区,,
巨峰路,121.5841553,31.28286047,6号线,浦东新区,,
东靖路,121.5845258,31.29285661,6号线,浦东新区,,
五洲大道,121.5850011,31.30473717,6号线,浦东新区,,
洲海路,121.5851844,31.31439355,6号线,浦东新区,,
外高桥保税区南,121.5977546,31.32374249,6号线,浦东新区,,
航津路,121.5897628,31.33752913,6号线,浦东新区,,
外高桥保税区北,121.5827097,31.34995223,6号线,浦东新区,,
港城路,121.5705222,31.35514202,6号线,浦东新区,,
花木路,121.5585158,31.21338958,7号线,浦东新区,,
龙阳路,121.5533858,31.20574697,7号线,浦东新区,,
芳华路,121.5458498,31.19527165,7号线,浦东新区,,
锦绣路,121.5357488,31.18973273,7号线,浦东新区,,
杨高南路,121.5207479,31.18966662,7号线,浦东新区,,
高科西路,121.505453,31.18781773,7号线,浦东新区,,
云台路,121.4960134,31.18424215,7号线,浦东新区,,
耀华路,121.4901657,31.18052755,7号线,浦东新区,,
长清路,121.4833047,31.17644849,7号线,浦东新区,,
后滩,121.4692381,31.17387682,7号线,浦东新区,,
龙华中路,121.4524849,31.18575577,7号线,徐汇区,,
东安路,121.4503215,31.19272378,7号线,徐汇区,,
肇嘉浜路,121.4456239,31.20132732,7号线,徐汇区,,
常熟路,121.4445491,31.21540653,7号线,徐汇区,,
静安寺,121.4416214,31.22495581,7号线,静安区,,
曹路,121.6787311,31.27335138,9号线,浦东新区,,
民雷路,121.6638392,31.27044403,9号线,浦东新区,,
顾唐路,121.6522016,31.26820534,9号线,浦东新区,,
金海路,121.634396,31.26530185,9号线,浦东新区,,
金吉路,121.6242593,31.26648172,9号线,浦东新区,,
金桥,121.6071305,31.26303695,9号线,浦东新区,,
台儿庄路,121.5932548,31.25501699,9号线,浦东新区,,
蓝天路,121.5737617,31.24320197,9号线,浦东新区,,
芳甸路,121.5541822,31.23400509,9号线,浦东新区,,
杨高中路,121.5443922,31.22965193,9号线,浦东新区,,
世纪大道,121.5228774,31.2307688,9号线,浦东新区,,
商城路,121.5119021,31.23231248,9号线,浦东新区,,
小南门,121.4939621,31.21887307,9号线,黄浦区,,
陆家浜路,121.4816357,31.21376224,9号线,黄浦区,,
马当路,121.4727465,31.21146952,9号线,黄浦区,,
打浦桥,121.464144,31.20823769,9号线,黄浦区,,
嘉善路,121.4561434,31.2047314,9号线,徐汇区,,
肇嘉浜路,121.4456239,31.20132732,9号线,徐汇区,,
徐家汇,121.4322206,31.1972098,9号线,徐汇区,,
宜山路,121.4225631,31.18858228,9号线,徐汇区,,
桂林路,121.4134242,31.1766559,9号线,徐汇区,,
